timestamp,query,summary
1593105343.0,"[[""injur"", 1.0]]",FFS Saka down injured. If Saka is injured here I'm never watching football again. Pls Saka don’t be injured. Arsenal players going down injured. If Saka is injured I'm going back to La Liga I'm done.
1593105653.0,"[[""mccarthi"", 1.0]]","Fucking sell McCarthy. Oh McCarthy 😧😧😧. Oh dear McCarthy 🙆🏾‍♂️. GOAL!! NKETIAH MAKES IT 1-0 TO ARSENAL! What is McCarthy doing there?! 😱. Fuck off mccarthy. What was that from McCarthy. Thank you McCarthy. McCarthy👊🏿. McCarthy.. no words. Oh McCarthy, why? Lmao McCarthy 🤣."
